"Time","image-preprocess-785f5c8677-ktkmd"
2025-07-07 21:43:15,0.000777 cores
2025-07-07 21:43:16,0.000765 cores
2025-07-07 21:43:17,0.000765 cores
2025-07-07 21:43:18,0.000765 cores
2025-07-07 21:43:19,0.000765 cores
2025-07-07 21:43:20,0.000765 cores
2025-07-07 21:43:21,0.000765 cores
2025-07-07 21:43:22,0.000765 cores
2025-07-07 21:43:23,0.000765 cores
2025-07-07 21:43:24,0.000765 cores
2025-07-07 21:43:25,0.000765 cores
2025-07-07 21:43:26,0.000765 cores
2025-07-07 21:43:27,0.000765 cores
2025-07-07 21:43:28,0.000765 cores
2025-07-07 21:43:29,0.000765 cores
2025-07-07 21:43:30,0.000765 cores
2025-07-07 21:43:31,0.000817 cores
2025-07-07 21:43:32,0.000817 cores
2025-07-07 21:43:33,0.000817 cores
2025-07-07 21:43:34,0.000817 cores
2025-07-07 21:43:35,0.000817 cores
2025-07-07 21:43:36,0.000539 cores
2025-07-07 21:43:37,0.000554 cores
2025-07-07 21:43:38,0.000568 cores
2025-07-07 21:43:39,0.000583 cores
2025-07-07 21:43:40,0.000597 cores
2025-07-07 21:43:41,0.000611 cores
2025-07-07 21:43:42,0.000626 cores
2025-07-07 21:43:43,0.000640 cores
2025-07-07 21:43:44,0.0705 cores
2025-07-07 21:43:45,0.0722 cores
2025-07-07 21:43:46,0.0739 cores
2025-07-07 21:43:47,0.0756 cores
2025-07-07 21:43:48,0.0773 cores
2025-07-07 21:43:49,0.0790 cores
2025-07-07 21:43:50,0.0807 cores
2025-07-07 21:43:51,0.0824 cores
2025-07-07 21:43:52,0.0841 cores
2025-07-07 21:43:53,0.0858 cores
2025-07-07 21:43:54,0.0875 cores
2025-07-07 21:43:55,0.142 cores
2025-07-07 21:43:56,0.144 cores
2025-07-07 21:43:57,0.147 cores
2025-07-07 21:43:58,0.150 cores
2025-07-07 21:43:59,0.153 cores
2025-07-07 21:44:00,0.155 cores
2025-07-07 21:44:01,0.158 cores
2025-07-07 21:44:02,0.161 cores
2025-07-07 21:44:03,0.164 cores
2025-07-07 21:44:04,0.165 cores
2025-07-07 21:44:05,0.177 cores
2025-07-07 21:44:06,0.181 cores
2025-07-07 21:44:07,0.184 cores
2025-07-07 21:44:08,0.188 cores
2025-07-07 21:44:09,0.162 cores
2025-07-07 21:44:10,0.162 cores
2025-07-07 21:44:11,0.162 cores
2025-07-07 21:44:12,0.162 cores
2025-07-07 21:44:13,0.162 cores
2025-07-07 21:44:14,0.141 cores
2025-07-07 21:44:15,0.141 cores
2025-07-07 21:44:16,0.148 cores
2025-07-07 21:44:17,0.151 cores
2025-07-07 21:44:18,0.154 cores
2025-07-07 21:44:19,0.158 cores
2025-07-07 21:44:20,0.161 cores
2025-07-07 21:44:21,0.164 cores
2025-07-07 21:44:22,0.167 cores
2025-07-07 21:44:23,0.170 cores
2025-07-07 21:44:24,0.174 cores
2025-07-07 21:44:25,0.177 cores
2025-07-07 21:44:26,0.180 cores
2025-07-07 21:44:27,0.142 cores
2025-07-07 21:44:28,0.144 cores
2025-07-07 21:44:29,0.147 cores
2025-07-07 21:44:30,0.147 cores
2025-07-07 21:44:31,0.0988 cores
2025-07-07 21:44:32,0.0988 cores
2025-07-07 21:44:33,0.0988 cores
2025-07-07 21:44:34,0.0988 cores
2025-07-07 21:44:35,0.0988 cores
2025-07-07 21:44:36,0.0988 cores
2025-07-07 21:44:37,0.0988 cores
2025-07-07 21:44:38,0.0988 cores
2025-07-07 21:44:39,0.0988 cores
2025-07-07 21:44:40,0.0988 cores
2025-07-07 21:44:41,0.0988 cores
2025-07-07 21:44:42,0.0845 cores
2025-07-07 21:44:43,0.0828 cores
2025-07-07 21:44:44,0.000660 cores
2025-07-07 21:44:45,0.000799 cores
2025-07-07 21:44:46,0.000799 cores
2025-07-07 21:44:47,0.000799 cores
2025-07-07 21:44:48,0.000799 cores
2025-07-07 21:44:49,0.000799 cores
2025-07-07 21:44:50,0.000799 cores
2025-07-07 21:44:51,0.000799 cores
2025-07-07 21:44:52,0.000799 cores
2025-07-07 21:44:53,0.000799 cores
2025-07-07 21:44:54,0.000799 cores
2025-07-07 21:44:55,0.000636 cores
2025-07-07 21:44:56,0.000648 cores
2025-07-07 21:44:57,0.000772 cores
2025-07-07 21:44:58,0.000772 cores
2025-07-07 21:44:59,0.000772 cores
2025-07-07 21:45:00,0.000772 cores