"Time","{instance=""worker3"", interface=""lxce5d4796c6279""}"
2025-07-07 21:43:15,430 B/s
2025-07-07 21:43:16,438 B/s
2025-07-07 21:43:17,445 B/s
2025-07-07 21:43:18,451 B/s
2025-07-07 21:43:19,451 B/s
2025-07-07 21:43:20,471 B/s
2025-07-07 21:43:21,474 B/s
2025-07-07 21:43:22,474 B/s
2025-07-07 21:43:23,474 B/s
2025-07-07 21:43:24,474 B/s
2025-07-07 21:43:25,474 B/s
2025-07-07 21:43:26,474 B/s
2025-07-07 21:43:27,407 B/s
2025-07-07 21:43:28,399 B/s
2025-07-07 21:43:29,391 B/s
2025-07-07 21:43:30,383 B/s
2025-07-07 21:43:31,375 B/s
2025-07-07 21:43:32,474 B/s
2025-07-07 21:43:33,474 B/s
2025-07-07 21:43:34,474 B/s
2025-07-07 21:43:35,474 B/s
2025-07-07 21:43:36,474 B/s
2025-07-07 21:43:37,474 B/s
2025-07-07 21:43:38,474 B/s
2025-07-07 21:43:39,474 B/s
2025-07-07 21:43:40,474 B/s
2025-07-07 21:43:41,474 B/s
2025-07-07 21:43:42,5.30 kB/s
2025-07-07 21:43:43,5.43 kB/s
2025-07-07 21:43:44,5.55 kB/s
2025-07-07 21:43:45,5.67 kB/s
2025-07-07 21:43:46,5.80 kB/s
2025-07-07 21:43:47,5.92 kB/s
2025-07-07 21:43:48,6.05 kB/s
2025-07-07 21:43:49,6.17 kB/s
2025-07-07 21:43:50,6.29 kB/s
2025-07-07 21:43:51,6.42 kB/s
2025-07-07 21:43:52,6.54 kB/s
2025-07-07 21:43:53,6.67 kB/s
2025-07-07 21:43:54,6.79 kB/s
2025-07-07 21:43:55,6.91 kB/s
2025-07-07 21:43:56,7.04 kB/s
2025-07-07 21:43:57,6.13 kB/s
2025-07-07 21:43:58,6.13 kB/s
2025-07-07 21:43:59,6.13 kB/s
2025-07-07 21:44:00,6.03 kB/s
2025-07-07 21:44:01,5.90 kB/s
2025-07-07 21:44:02,6.52 kB/s
2025-07-07 21:44:03,12.3 kB/s
2025-07-07 21:44:04,12.5 kB/s
2025-07-07 21:44:05,12.8 kB/s
2025-07-07 21:44:06,13.0 kB/s
2025-07-07 21:44:07,13.2 kB/s
2025-07-07 21:44:08,13.5 kB/s
2025-07-07 21:44:09,13.7 kB/s
2025-07-07 21:44:10,13.9 kB/s
2025-07-07 21:44:11,14.0 kB/s
2025-07-07 21:44:12,15.9 kB/s
2025-07-07 21:44:13,12.4 kB/s
2025-07-07 21:44:14,12.7 kB/s
2025-07-07 21:44:15,13.0 kB/s
2025-07-07 21:44:16,13.3 kB/s
2025-07-07 21:44:17,13.6 kB/s
2025-07-07 21:44:18,13.9 kB/s
2025-07-07 21:44:19,14.2 kB/s
2025-07-07 21:44:20,14.5 kB/s
2025-07-07 21:44:21,14.7 kB/s
2025-07-07 21:44:22,15.0 kB/s
2025-07-07 21:44:23,15.3 kB/s
2025-07-07 21:44:24,15.6 kB/s
2025-07-07 21:44:25,15.9 kB/s
2025-07-07 21:44:26,16.2 kB/s
2025-07-07 21:44:27,14.1 kB/s
2025-07-07 21:44:28,14.1 kB/s
2025-07-07 21:44:29,14.1 kB/s
2025-07-07 21:44:30,14.1 kB/s
2025-07-07 21:44:31,13.8 kB/s
2025-07-07 21:44:32,10.9 kB/s
2025-07-07 21:44:33,8.40 kB/s
2025-07-07 21:44:34,8.40 kB/s
2025-07-07 21:44:35,8.40 kB/s
2025-07-07 21:44:36,8.40 kB/s
2025-07-07 21:44:37,8.40 kB/s
2025-07-07 21:44:38,8.40 kB/s
2025-07-07 21:44:39,8.40 kB/s
2025-07-07 21:44:40,8.40 kB/s
2025-07-07 21:44:41,8.40 kB/s
2025-07-07 21:44:42,375 B/s
2025-07-07 21:44:43,375 B/s
2025-07-07 21:44:44,383 B/s
2025-07-07 21:44:45,391 B/s
2025-07-07 21:44:46,399 B/s
2025-07-07 21:44:47,406 B/s
2025-07-07 21:44:48,472 B/s
2025-07-07 21:44:49,472 B/s
2025-07-07 21:44:50,472 B/s
2025-07-07 21:44:51,472 B/s
2025-07-07 21:44:52,472 B/s
2025-07-07 21:44:53,472 B/s
2025-07-07 21:44:54,472 B/s
2025-07-07 21:44:55,472 B/s
2025-07-07 21:44:56,472 B/s
2025-07-07 21:44:57,408 B/s
2025-07-07 21:44:58,400 B/s
2025-07-07 21:44:59,392 B/s
2025-07-07 21:45:00,384 B/s