"Time","{instance=""worker3"", interface=""lxcb81b67412fbb""}"
2025-07-07 20:34:35,455 B/s
2025-07-07 20:34:36,455 B/s
2025-07-07 20:34:37,455 B/s
2025-07-07 20:34:38,455 B/s
2025-07-07 20:34:39,455 B/s
2025-07-07 20:34:40,455 B/s
2025-07-07 20:34:41,455 B/s
2025-07-07 20:34:42,455 B/s
2025-07-07 20:34:43,2.05 MB/s
2025-07-07 20:34:44,2.10 MB/s
2025-07-07 20:34:45,2.15 MB/s
2025-07-07 20:34:46,2.20 MB/s
2025-07-07 20:34:47,2.26 MB/s
2025-07-07 20:34:48,2.31 MB/s
2025-07-07 20:34:49,2.36 MB/s
2025-07-07 20:34:50,2.41 MB/s
2025-07-07 20:34:51,2.46 MB/s
2025-07-07 20:34:52,2.51 MB/s
2025-07-07 20:34:53,2.56 MB/s
2025-07-07 20:34:54,2.61 MB/s
2025-07-07 20:34:55,2.66 MB/s
2025-07-07 20:34:56,2.71 MB/s
2025-07-07 20:34:57,2.35 MB/s
2025-07-07 20:34:58,2.35 MB/s
2025-07-07 20:34:59,2.35 MB/s
2025-07-07 20:35:00,2.35 MB/s
2025-07-07 20:35:01,2.35 MB/s
2025-07-07 20:35:02,2.35 MB/s
2025-07-07 20:35:03,2.43 MB/s
2025-07-07 20:35:04,2.48 MB/s
2025-07-07 20:35:05,2.53 MB/s
2025-07-07 20:35:06,2.58 MB/s
2025-07-07 20:35:07,2.62 MB/s
2025-07-07 20:35:08,2.67 MB/s
2025-07-07 20:35:09,2.72 MB/s
2025-07-07 20:35:10,2.77 MB/s
2025-07-07 20:35:11,2.81 MB/s
2025-07-07 20:35:12,2.86 MB/s
2025-07-07 20:35:13,2.44 MB/s
2025-07-07 20:35:14,2.50 MB/s
2025-07-07 20:35:15,2.56 MB/s
2025-07-07 20:35:16,2.62 MB/s
2025-07-07 20:35:17,2.68 MB/s
2025-07-07 20:35:18,2.74 MB/s
2025-07-07 20:35:19,2.80 MB/s
2025-07-07 20:35:20,2.86 MB/s
2025-07-07 20:35:21,2.92 MB/s
2025-07-07 20:35:22,2.98 MB/s
2025-07-07 20:35:23,3.04 MB/s
2025-07-07 20:35:24,3.10 MB/s
2025-07-07 20:35:25,3.16 MB/s
2025-07-07 20:35:26,3.22 MB/s
2025-07-07 20:35:27,2.80 MB/s
2025-07-07 20:35:28,2.80 MB/s
2025-07-07 20:35:29,2.80 MB/s
2025-07-07 20:35:30,2.80 MB/s
2025-07-07 20:35:31,2.80 MB/s
2025-07-07 20:35:32,2.80 MB/s
2025-07-07 20:35:33,459 kB/s
2025-07-07 20:35:34,459 kB/s
2025-07-07 20:35:35,459 kB/s
2025-07-07 20:35:36,459 kB/s
2025-07-07 20:35:37,459 kB/s
2025-07-07 20:35:38,459 kB/s
2025-07-07 20:35:39,459 kB/s
2025-07-07 20:35:40,459 kB/s
2025-07-07 20:35:41,459 kB/s
2025-07-07 20:35:42,459 kB/s
2025-07-07 20:35:43,364 B/s
2025-07-07 20:35:44,372 B/s
2025-07-07 20:35:45,380 B/s
2025-07-07 20:35:46,387 B/s
2025-07-07 20:35:47,395 B/s
2025-07-07 20:35:48,461 B/s
2025-07-07 20:35:49,461 B/s
2025-07-07 20:35:50,461 B/s