"Time","image-filter-cfbfd9b5f-jrq4f"
2025-07-07 19:49:00,25.3 MiB
2025-07-07 19:49:01,25.3 MiB
2025-07-07 19:49:02,25.4 MiB
2025-07-07 19:49:03,25.4 MiB
2025-07-07 19:49:04,25.4 MiB
2025-07-07 19:49:05,25.4 MiB
2025-07-07 19:49:06,25.4 MiB
2025-07-07 19:49:07,25.4 MiB
2025-07-07 19:49:08,25.4 MiB
2025-07-07 19:49:09,25.4 MiB
2025-07-07 19:49:10,25.4 MiB
2025-07-07 19:49:11,25.4 MiB
2025-07-07 19:49:12,25.4 MiB
2025-07-07 19:49:13,25.4 MiB
2025-07-07 19:49:14,25.5 MiB
2025-07-07 19:49:15,25.5 MiB
2025-07-07 19:49:16,25.5 MiB
2025-07-07 19:49:17,25.5 MiB
2025-07-07 19:49:18,25.5 MiB
2025-07-07 19:49:19,25.5 MiB
2025-07-07 19:49:20,25.5 MiB
2025-07-07 19:49:21,25.5 MiB
2025-07-07 19:49:22,25.5 MiB
2025-07-07 19:49:23,25.5 MiB
2025-07-07 19:49:24,25.5 MiB
2025-07-07 19:49:25,25.5 MiB
2025-07-07 19:49:26,25.5 MiB
2025-07-07 19:49:27,25.5 MiB
2025-07-07 19:49:28,25.5 MiB
2025-07-07 19:49:29,25.5 MiB
2025-07-07 19:49:30,25.5 MiB
2025-07-07 19:49:31,25.5 MiB
2025-07-07 19:49:32,25.5 MiB
2025-07-07 19:49:33,25.5 MiB
2025-07-07 19:49:34,25.5 MiB
2025-07-07 19:49:35,25.5 MiB
2025-07-07 19:49:36,25.5 MiB
2025-07-07 19:49:37,25.5 MiB
2025-07-07 19:49:38,25.5 MiB
2025-07-07 19:49:39,25.5 MiB
2025-07-07 19:49:40,25.5 MiB
2025-07-07 19:49:41,25.5 MiB
2025-07-07 19:49:42,28.0 MiB
2025-07-07 19:49:43,28.0 MiB
2025-07-07 19:49:44,28.0 MiB
2025-07-07 19:49:45,28.0 MiB
2025-07-07 19:49:46,28.0 MiB
2025-07-07 19:49:47,28.0 MiB
2025-07-07 19:49:48,28.0 MiB
2025-07-07 19:49:49,28.0 MiB
2025-07-07 19:49:50,28.0 MiB
2025-07-07 19:49:51,28.0 MiB
2025-07-07 19:49:52,28.0 MiB
2025-07-07 19:49:53,28.0 MiB
2025-07-07 19:49:54,28.1 MiB
2025-07-07 19:49:55,28.1 MiB
2025-07-07 19:49:56,28.1 MiB
2025-07-07 19:49:57,28.1 MiB
2025-07-07 19:49:58,28.1 MiB
2025-07-07 19:49:59,28.1 MiB
2025-07-07 19:50:00,28.1 MiB
2025-07-07 19:50:01,28.1 MiB
2025-07-07 19:50:02,28.1 MiB
2025-07-07 19:50:03,28.1 MiB
2025-07-07 19:50:04,28.1 MiB
2025-07-07 19:50:05,28.1 MiB
2025-07-07 19:50:06,28.1 MiB
2025-07-07 19:50:07,28.1 MiB
2025-07-07 19:50:08,29.1 MiB
2025-07-07 19:50:09,29.1 MiB
2025-07-07 19:50:10,29.1 MiB
2025-07-07 19:50:11,29.1 MiB
2025-07-07 19:50:12,29.1 MiB
2025-07-07 19:50:13,29.1 MiB
2025-07-07 19:50:14,29.1 MiB
2025-07-07 19:50:15,29.1 MiB
2025-07-07 19:50:16,29.1 MiB
2025-07-07 19:50:17,29.1 MiB
2025-07-07 19:50:18,29.1 MiB
2025-07-07 19:50:19,29.1 MiB
2025-07-07 19:50:20,29.1 MiB
2025-07-07 19:50:21,29.1 MiB
2025-07-07 19:50:22,29.1 MiB
2025-07-07 19:50:23,29.1 MiB
2025-07-07 19:50:24,29.1 MiB
2025-07-07 19:50:25,29.5 MiB
2025-07-07 19:50:26,29.5 MiB
2025-07-07 19:50:27,29.5 MiB
2025-07-07 19:50:28,29.5 MiB
2025-07-07 19:50:29,29.5 MiB
2025-07-07 19:50:30,29.5 MiB
2025-07-07 19:50:31,29.5 MiB
2025-07-07 19:50:32,29.5 MiB
2025-07-07 19:50:33,29.5 MiB
2025-07-07 19:50:34,29.5 MiB
2025-07-07 19:50:35,29.5 MiB
2025-07-07 19:50:36,29.5 MiB
2025-07-07 19:50:37,29.5 MiB
2025-07-07 19:50:38,29.5 MiB
2025-07-07 19:50:39,29.5 MiB
2025-07-07 19:50:40,29.5 MiB
2025-07-07 19:50:41,29.5 MiB
2025-07-07 19:50:42,29.5 MiB
2025-07-07 19:50:43,29.6 MiB
2025-07-07 19:50:44,29.6 MiB
2025-07-07 19:50:45,29.6 MiB
2025-07-07 19:50:46,29.6 MiB
2025-07-07 19:50:47,29.6 MiB
2025-07-07 19:50:48,29.6 MiB
2025-07-07 19:50:49,29.6 MiB
2025-07-07 19:50:50,29.6 MiB
2025-07-07 19:50:51,29.6 MiB
2025-07-07 19:50:52,29.6 MiB
2025-07-07 19:50:53,29.6 MiB
2025-07-07 19:50:54,29.6 MiB
2025-07-07 19:50:55,29.7 MiB
2025-07-07 19:50:56,29.7 MiB
2025-07-07 19:50:57,29.7 MiB
2025-07-07 19:50:58,29.7 MiB
2025-07-07 19:50:59,29.7 MiB
2025-07-07 19:51:00,29.7 MiB
2025-07-07 19:51:01,29.7 MiB
2025-07-07 19:51:02,29.7 MiB
2025-07-07 19:51:03,29.7 MiB
2025-07-07 19:51:04,29.7 MiB
2025-07-07 19:51:05,29.7 MiB
2025-07-07 19:51:06,29.7 MiB
2025-07-07 19:51:07,29.7 MiB
2025-07-07 19:51:08,29.7 MiB
2025-07-07 19:51:09,29.7 MiB
2025-07-07 19:51:10,29.7 MiB
2025-07-07 19:51:11,29.7 MiB
2025-07-07 19:51:12,29.7 MiB
2025-07-07 19:51:13,29.7 MiB
2025-07-07 19:51:14,29.7 MiB
2025-07-07 19:51:15,29.7 MiB
2025-07-07 19:51:16,29.7 MiB
2025-07-07 19:51:17,29.7 MiB
2025-07-07 19:51:18,29.7 MiB
2025-07-07 19:51:19,29.7 MiB
2025-07-07 19:51:20,29.7 MiB
2025-07-07 19:51:21,29.7 MiB
2025-07-07 19:51:22,29.7 MiB
2025-07-07 19:51:23,29.7 MiB
2025-07-07 19:51:24,29.7 MiB
2025-07-07 19:51:25,29.7 MiB
2025-07-07 19:51:26,29.7 MiB
2025-07-07 19:51:27,29.7 MiB
2025-07-07 19:51:28,29.7 MiB
2025-07-07 19:51:29,29.7 MiB
2025-07-07 19:51:30,29.7 MiB
2025-07-07 19:51:31,29.7 MiB
2025-07-07 19:51:32,29.7 MiB
2025-07-07 19:51:33,29.7 MiB
2025-07-07 19:51:34,29.7 MiB
2025-07-07 19:51:35,29.7 MiB
2025-07-07 19:51:36,29.7 MiB
2025-07-07 19:51:37,29.7 MiB
2025-07-07 19:51:38,29.7 MiB
2025-07-07 19:51:39,29.7 MiB
2025-07-07 19:51:40,29.7 MiB
2025-07-07 19:51:41,29.9 MiB
2025-07-07 19:51:42,29.9 MiB
2025-07-07 19:51:43,29.9 MiB
2025-07-07 19:51:44,29.9 MiB
2025-07-07 19:51:45,29.9 MiB
2025-07-07 19:51:46,29.9 MiB
2025-07-07 19:51:47,29.9 MiB
2025-07-07 19:51:48,29.9 MiB
2025-07-07 19:51:49,29.9 MiB
2025-07-07 19:51:50,29.9 MiB
2025-07-07 19:51:51,29.9 MiB
2025-07-07 19:51:52,29.8 MiB
2025-07-07 19:51:53,29.8 MiB
2025-07-07 19:51:54,29.8 MiB
2025-07-07 19:51:55,29.8 MiB
2025-07-07 19:51:56,29.8 MiB
2025-07-07 19:51:57,29.8 MiB
2025-07-07 19:51:58,29.8 MiB
2025-07-07 19:51:59,29.8 MiB
2025-07-07 19:52:00,29.8 MiB
2025-07-07 19:52:01,29.8 MiB
2025-07-07 19:52:02,29.8 MiB
2025-07-07 19:52:03,29.8 MiB
2025-07-07 19:52:04,29.8 MiB
2025-07-07 19:52:05,29.8 MiB
2025-07-07 19:52:06,29.8 MiB
2025-07-07 19:52:07,29.8 MiB
2025-07-07 19:52:08,29.8 MiB
2025-07-07 19:52:09,29.8 MiB
2025-07-07 19:52:10,29.8 MiB
2025-07-07 19:52:11,30.2 MiB
2025-07-07 19:52:12,30.2 MiB
2025-07-07 19:52:13,30.2 MiB
2025-07-07 19:52:14,30.2 MiB
2025-07-07 19:52:15,30.2 MiB