"Time","image-filter-cfbfd9b5f-k58vn"
2025-07-07 16:19:19,0.000194 cores
2025-07-07 16:19:20,0.000204 cores
2025-07-07 16:19:21,0.000215 cores
2025-07-07 16:19:22,0.000225 cores
2025-07-07 16:19:23,0.000235 cores
2025-07-07 16:19:24,0.000246 cores
2025-07-07 16:19:25,0.000256 cores
2025-07-07 16:19:26,0.000267 cores
2025-07-07 16:19:27,0.000277 cores
2025-07-07 16:19:28,0.000287 cores
2025-07-07 16:19:29,0.000298 cores
2025-07-07 16:19:30,0.000308 cores
2025-07-07 16:19:31,0.000319 cores
2025-07-07 16:19:32,0.000248 cores
2025-07-07 16:19:33,0.000329 cores
2025-07-07 16:19:34,0.000338 cores
2025-07-07 16:19:35,0.000348 cores
2025-07-07 16:19:36,0.000358 cores
2025-07-07 16:19:37,0.000368 cores
2025-07-07 16:19:38,0.000378 cores
2025-07-07 16:19:39,0.000388 cores
2025-07-07 16:19:40,0.000398 cores
2025-07-07 16:19:41,0.000408 cores
2025-07-07 16:19:42,0.000417 cores
2025-07-07 16:19:43,0.000427 cores
2025-07-07 16:19:44,0.000437 cores
2025-07-07 16:19:45,0.000447 cores
2025-07-07 16:19:46,0.000464 cores
2025-07-07 16:19:47,0.000474 cores
2025-07-07 16:19:48,0.000484 cores
2025-07-07 16:19:49,0.000494 cores
2025-07-07 16:19:50,0.000504 cores
2025-07-07 16:19:51,0.000514 cores
2025-07-07 16:19:52,0.000602 cores
2025-07-07 16:19:53,0.000602 cores
2025-07-07 16:19:54,0.000602 cores
2025-07-07 16:19:55,0.000602 cores
2025-07-07 16:19:56,0.000602 cores
2025-07-07 16:19:57,0.000595 cores
2025-07-07 16:19:58,0.000595 cores
2025-07-07 16:19:59,0.000595 cores
2025-07-07 16:20:00,0.000595 cores
2025-07-07 16:20:01,0.000595 cores
2025-07-07 16:20:02,0.000595 cores
2025-07-07 16:20:03,0.000595 cores
2025-07-07 16:20:04,0.000595 cores
2025-07-07 16:20:05,0.000595 cores
2025-07-07 16:20:06,0.000595 cores
2025-07-07 16:20:07,0.000586 cores
2025-07-07 16:20:08,0.000586 cores
2025-07-07 16:20:09,0.000848 cores
2025-07-07 16:20:10,0.000848 cores
2025-07-07 16:20:11,0.000848 cores
2025-07-07 16:20:12,0.000848 cores
2025-07-07 16:20:13,0.000848 cores
2025-07-07 16:20:14,0.000848 cores
2025-07-07 16:20:15,0.000848 cores
2025-07-07 16:20:16,0.000848 cores
2025-07-07 16:20:17,0.000848 cores
2025-07-07 16:20:18,0.000848 cores
2025-07-07 16:20:19,0.000839 cores
2025-07-07 16:20:20,0.000963 cores
2025-07-07 16:20:21,0.000963 cores
2025-07-07 16:20:22,0.000834 cores
2025-07-07 16:20:23,0.000818 cores
2025-07-07 16:20:24,0.000802 cores
2025-07-07 16:20:25,0.000786 cores
2025-07-07 16:20:26,0.00101 cores
2025-07-07 16:20:27,0.00101 cores
2025-07-07 16:20:28,0.00101 cores
2025-07-07 16:20:29,0.00101 cores
2025-07-07 16:20:30,0.00101 cores
2025-07-07 16:20:31,0.00101 cores
2025-07-07 16:20:32,0.00101 cores
2025-07-07 16:20:33,0.00114 cores
2025-07-07 16:20:34,0.00114 cores
2025-07-07 16:20:35,0.00114 cores
2025-07-07 16:20:36,0.00114 cores
2025-07-07 16:20:37,0.00114 cores
2025-07-07 16:20:38,0.00114 cores
2025-07-07 16:20:39,0.00114 cores
2025-07-07 16:20:40,0.000985 cores
2025-07-07 16:20:41,0.000966 cores
2025-07-07 16:20:42,0.000947 cores
2025-07-07 16:20:43,0.000928 cores
2025-07-07 16:20:44,0.000909 cores
2025-07-07 16:20:45,0.00106 cores
2025-07-07 16:20:46,0.00118 cores
2025-07-07 16:20:47,0.00118 cores
2025-07-07 16:20:48,0.00118 cores
2025-07-07 16:20:49,0.00118 cores
2025-07-07 16:20:50,0.00118 cores
2025-07-07 16:20:51,0.00118 cores
2025-07-07 16:20:52,0.00118 cores
2025-07-07 16:20:53,0.00118 cores
2025-07-07 16:20:54,0.00118 cores
2025-07-07 16:20:55,0.00118 cores
2025-07-07 16:20:56,0.00118 cores
2025-07-07 16:20:57,0.00100 cores
2025-07-07 16:20:58,0.00100 cores
2025-07-07 16:20:59,0.00100 cores
2025-07-07 16:21:00,0.00100 cores
2025-07-07 16:21:01,0.00100 cores
2025-07-07 16:21:02,0.00100 cores
2025-07-07 16:21:03,0.00100 cores
2025-07-07 16:21:04,0.00107 cores
2025-07-07 16:21:05,0.00107 cores
2025-07-07 16:21:06,0.00107 cores
2025-07-07 16:21:07,0.00107 cores
2025-07-07 16:21:08,0.00107 cores
2025-07-07 16:21:09,0.00105 cores
2025-07-07 16:21:10,0.00105 cores
2025-07-07 16:21:11,0.00105 cores
2025-07-07 16:21:12,0.00105 cores
2025-07-07 16:21:13,0.00105 cores
2025-07-07 16:21:14,0.00105 cores
2025-07-07 16:21:15,0.00105 cores
2025-07-07 16:21:16,0.00105 cores
2025-07-07 16:21:17,0.00105 cores
2025-07-07 16:21:18,0.00105 cores
2025-07-07 16:21:19,0.00105 cores
2025-07-07 16:21:20,0.000978 cores
2025-07-07 16:21:21,0.000978 cores
2025-07-07 16:21:22,0.000978 cores
2025-07-07 16:21:23,0.000978 cores
2025-07-07 16:21:24,0.000978 cores
2025-07-07 16:21:25,0.000978 cores
2025-07-07 16:21:26,0.000844 cores
2025-07-07 16:21:27,0.00102 cores
2025-07-07 16:21:28,0.00102 cores
2025-07-07 16:21:29,0.00102 cores
2025-07-07 16:21:30,0.00102 cores
2025-07-07 16:21:31,0.00102 cores
2025-07-07 16:21:32,0.00102 cores
2025-07-07 16:21:33,0.00102 cores
2025-07-07 16:21:34,0.00102 cores
2025-07-07 16:21:35,0.00102 cores
2025-07-07 16:21:36,0.00102 cores
2025-07-07 16:21:37,0.00102 cores
2025-07-07 16:21:38,0.00102 cores
2025-07-07 16:21:39,0.000829 cores
2025-07-07 16:21:40,0.000812 cores
2025-07-07 16:21:41,0.000795 cores
2025-07-07 16:21:42,0.000778 cores
2025-07-07 16:21:43,0.000761 cores
2025-07-07 16:21:44,0.000744 cores
2025-07-07 16:21:45,0.000436 cores
2025-07-07 16:21:46,0.000559 cores
2025-07-07 16:21:47,0.000959 cores
2025-07-07 16:21:48,0.000959 cores
2025-07-07 16:21:49,0.000959 cores
2025-07-07 16:21:50,0.000959 cores
2025-07-07 16:21:51,0.000959 cores
2025-07-07 16:21:52,0.000959 cores
2025-07-07 16:21:53,0.000959 cores
2025-07-07 16:21:54,0.000959 cores
2025-07-07 16:21:55,0.000959 cores
2025-07-07 16:21:56,0.000959 cores
2025-07-07 16:21:57,0.000959 cores
2025-07-07 16:21:58,0.000959 cores
2025-07-07 16:21:59,0.000959 cores
2025-07-07 16:22:00,0.000959 cores
2025-07-07 16:22:01,0.000959 cores
2025-07-07 16:22:02,0.000959 cores
2025-07-07 16:22:03,0.000959 cores
2025-07-07 16:22:04,0.00118 cores
2025-07-07 16:22:05,0.00118 cores
2025-07-07 16:22:06,0.00118 cores
2025-07-07 16:22:07,0.00118 cores
2025-07-07 16:22:08,0.00118 cores
2025-07-07 16:22:09,0.00118 cores
2025-07-07 16:22:10,0.00118 cores
2025-07-07 16:22:11,0.00118 cores
2025-07-07 16:22:12,0.00118 cores
2025-07-07 16:22:13,0.00118 cores
2025-07-07 16:22:14,0.00118 cores
2025-07-07 16:22:15,0.00118 cores
2025-07-07 16:22:16,0.00118 cores
2025-07-07 16:22:17,0.00109 cores
2025-07-07 16:22:18,0.00109 cores
2025-07-07 16:22:19,0.00109 cores
2025-07-07 16:22:20,0.000771 cores
2025-07-07 16:22:21,0.000790 cores
2025-07-07 16:22:22,0.000808 cores
2025-07-07 16:22:23,0.000827 cores
2025-07-07 16:22:24,0.000846 cores
2025-07-07 16:22:25,0.000865 cores
2025-07-07 16:22:26,0.000884 cores
2025-07-07 16:22:27,0.000838 cores
2025-07-07 16:22:28,0.000856 cores
2025-07-07 16:22:29,0.000874 cores
2025-07-07 16:22:30,0.000892 cores
2025-07-07 16:22:31,0.000910 cores
2025-07-07 16:22:32,0.00107 cores
2025-07-07 16:22:33,0.00107 cores
2025-07-07 16:22:34,0.00107 cores
2025-07-07 16:22:35,0.00107 cores
2025-07-07 16:22:36,0.00107 cores
2025-07-07 16:22:37,0.00107 cores
2025-07-07 16:22:38,0.00107 cores
2025-07-07 16:22:39,0.00107 cores
2025-07-07 16:22:40,0.00107 cores
2025-07-07 16:22:41,0.000921 cores
2025-07-07 16:22:42,0.000903 cores
2025-07-07 16:22:43,0.000886 cores
2025-07-07 16:22:44,0.000868 cores
2025-07-07 16:22:45,0.000850 cores
2025-07-07 16:22:46,0.000832 cores
2025-07-07 16:22:47,0.000853 cores
2025-07-07 16:22:48,0.00100 cores
2025-07-07 16:22:49,0.00100 cores
2025-07-07 16:22:50,0.00100 cores
2025-07-07 16:22:51,0.00100 cores
2025-07-07 16:22:52,0.00100 cores
2025-07-07 16:22:53,0.00100 cores
2025-07-07 16:22:54,0.00100 cores
2025-07-07 16:22:55,0.00100 cores
2025-07-07 16:22:56,0.00100 cores
2025-07-07 16:22:57,0.00100 cores
2025-07-07 16:22:58,0.00100 cores
2025-07-07 16:22:59,0.00100 cores
2025-07-07 16:23:00,0.00100 cores
2025-07-07 16:23:01,0.00100 cores
2025-07-07 16:23:02,0.00100 cores
2025-07-07 16:23:03,0.00100 cores
2025-07-07 16:23:04,0.00107 cores
2025-07-07 16:23:05,0.00107 cores
2025-07-07 16:23:06,0.00107 cores
2025-07-07 16:23:07,0.00107 cores
2025-07-07 16:23:08,0.00107 cores
2025-07-07 16:23:09,0.00107 cores
2025-07-07 16:23:10,0.00107 cores
2025-07-07 16:23:11,0.00107 cores
2025-07-07 16:23:12,0.00107 cores
2025-07-07 16:23:13,0.00107 cores
2025-07-07 16:23:14,0.00107 cores
2025-07-07 16:23:15,0.00107 cores
2025-07-07 16:23:16,0.00107 cores
2025-07-07 16:23:17,0.00111 cores
2025-07-07 16:23:18,0.00111 cores
2025-07-07 16:23:19,0.00111 cores
2025-07-07 16:23:20,0.00111 cores
2025-07-07 16:23:21,0.00111 cores
2025-07-07 16:23:22,0.00111 cores
2025-07-07 16:23:23,0.00111 cores
2025-07-07 16:23:24,0.00111 cores
2025-07-07 16:23:25,0.00111 cores
2025-07-07 16:23:26,0.00108 cores
2025-07-07 16:23:27,0.000809 cores
2025-07-07 16:23:28,0.000826 cores
2025-07-07 16:23:29,0.000843 cores
2025-07-07 16:23:30,0.000860 cores
2025-07-07 16:23:31,0.000877 cores
2025-07-07 16:23:32,0.00102 cores
2025-07-07 16:23:33,0.00102 cores
2025-07-07 16:23:34,0.00102 cores
2025-07-07 16:23:35,0.00102 cores
2025-07-07 16:23:36,0.00102 cores
2025-07-07 16:23:37,0.00103 cores
2025-07-07 16:23:38,0.00103 cores
2025-07-07 16:23:39,0.00103 cores
2025-07-07 16:23:40,0.00103 cores
2025-07-07 16:23:41,0.00103 cores
2025-07-07 16:23:42,0.00103 cores
2025-07-07 16:23:43,0.00103 cores
2025-07-07 16:23:44,0.00103 cores
2025-07-07 16:23:45,0.00103 cores
2025-07-07 16:23:46,0.00103 cores
2025-07-07 16:23:47,0.00104 cores
2025-07-07 16:23:48,0.00104 cores
2025-07-07 16:23:49,0.00104 cores
2025-07-07 16:23:50,0.00104 cores
2025-07-07 16:23:51,0.000899 cores
2025-07-07 16:23:52,0.000881 cores
2025-07-07 16:23:53,0.000864 cores
2025-07-07 16:23:54,0.000847 cores
2025-07-07 16:23:55,0.000829 cores
2025-07-07 16:23:56,0.000812 cores
2025-07-07 16:23:57,0.000795 cores
2025-07-07 16:23:58,0.000777 cores
2025-07-07 16:23:59,0.000760 cores
2025-07-07 16:24:00,0.000733 cores
2025-07-07 16:24:01,0.000716 cores
2025-07-07 16:24:02,0.000699 cores
2025-07-07 16:24:03,0.000682 cores
2025-07-07 16:24:04,0.00116 cores
2025-07-07 16:24:05,0.00116 cores
2025-07-07 16:24:06,0.00116 cores
2025-07-07 16:24:07,0.00116 cores
2025-07-07 16:24:08,0.00116 cores
2025-07-07 16:24:09,0.00116 cores
2025-07-07 16:24:10,0.00116 cores
2025-07-07 16:24:11,0.00116 cores
2025-07-07 16:24:12,0.00116 cores
2025-07-07 16:24:13,0.00122 cores
2025-07-07 16:24:14,0.00122 cores
2025-07-07 16:24:15,0.00122 cores
2025-07-07 16:24:16,0.00122 cores
2025-07-07 16:24:17,0.00122 cores
2025-07-07 16:24:18,0.00122 cores
2025-07-07 16:24:19,0.00122 cores
2025-07-07 16:24:20,0.00122 cores
2025-07-07 16:24:21,0.00122 cores
2025-07-07 16:24:22,0.00122 cores
2025-07-07 16:24:23,0.00118 cores
2025-07-07 16:24:24,0.00118 cores
2025-07-07 16:24:25,0.00118 cores
2025-07-07 16:24:26,0.00121 cores
2025-07-07 16:24:27,0.00121 cores
2025-07-07 16:24:28,0.00121 cores
2025-07-07 16:24:29,0.00121 cores
2025-07-07 16:24:30,0.00121 cores
2025-07-07 16:24:31,0.00121 cores
2025-07-07 16:24:32,0.00121 cores
2025-07-07 16:24:33,0.00121 cores
2025-07-07 16:24:34,0.00121 cores
2025-07-07 16:24:35,0.00121 cores
2025-07-07 16:24:36,0.00121 cores
2025-07-07 16:24:37,0.000802 cores
2025-07-07 16:24:38,0.000821 cores
2025-07-07 16:24:39,0.000839 cores
2025-07-07 16:24:40,0.000857 cores
2025-07-07 16:24:41,0.000987 cores
2025-07-07 16:24:42,0.00101 cores
2025-07-07 16:24:43,0.00125 cores
2025-07-07 16:24:44,0.00125 cores
2025-07-07 16:24:45,0.00125 cores
2025-07-07 16:24:46,0.00125 cores
2025-07-07 16:24:47,0.00125 cores
2025-07-07 16:24:48,0.00125 cores
2025-07-07 16:24:49,0.00125 cores
2025-07-07 16:24:50,0.00125 cores
2025-07-07 16:24:51,0.00125 cores
2025-07-07 16:24:52,0.00125 cores
2025-07-07 16:24:53,0.00120 cores
2025-07-07 16:24:54,0.00120 cores
2025-07-07 16:24:55,0.00120 cores
2025-07-07 16:24:56,0.00120 cores
2025-07-07 16:24:57,0.00120 cores
2025-07-07 16:24:58,0.00120 cores
2025-07-07 16:24:59,0.00120 cores
2025-07-07 16:25:00,0.00120 cores
2025-07-07 16:25:01,0.00120 cores
2025-07-07 16:25:02,0.00120 cores
2025-07-07 16:25:03,0.00120 cores
2025-07-07 16:25:04,0.00102 cores
2025-07-07 16:25:05,0.00104 cores
2025-07-07 16:25:06,0.00107 cores
2025-07-07 16:25:07,0.00126 cores
2025-07-07 16:25:08,0.00126 cores
2025-07-07 16:25:09,0.00107 cores
2025-07-07 16:25:10,0.00105 cores
2025-07-07 16:25:11,0.00103 cores
2025-07-07 16:25:12,0.00101 cores
2025-07-07 16:25:13,0.000985 cores
2025-07-07 16:25:14,0.000964 cores
2025-07-07 16:25:15,0.000943 cores
2025-07-07 16:25:16,0.000922 cores
2025-07-07 16:25:17,0.000900 cores
2025-07-07 16:25:18,0.000879 cores
2025-07-07 16:25:19,0.000858 cores
2025-07-07 16:25:20,0.000837 cores
2025-07-07 16:25:21,0.000816 cores
2025-07-07 16:25:22,0.000795 cores
2025-07-07 16:25:23,0.00104 cores
2025-07-07 16:25:24,0.00104 cores
2025-07-07 16:25:25,0.00104 cores
2025-07-07 16:25:26,0.00104 cores
2025-07-07 16:25:27,0.00104 cores
2025-07-07 16:25:28,0.00104 cores
2025-07-07 16:25:29,0.00104 cores
2025-07-07 16:25:30,0.00104 cores
2025-07-07 16:25:31,0.00104 cores
2025-07-07 16:25:32,0.00104 cores
2025-07-07 16:25:33,0.00104 cores
2025-07-07 16:25:34,0.00103 cores
2025-07-07 16:25:35,0.00103 cores
2025-07-07 16:25:36,0.00103 cores
2025-07-07 16:25:37,0.00103 cores
2025-07-07 16:25:38,0.00103 cores
2025-07-07 16:25:39,0.00103 cores
2025-07-07 16:25:40,0.00103 cores
2025-07-07 16:25:41,0.00103 cores
2025-07-07 16:25:42,0.00103 cores
2025-07-07 16:25:43,0.00103 cores
2025-07-07 16:25:44,0.00101 cores
2025-07-07 16:25:45,0.00101 cores
2025-07-07 16:25:46,0.00101 cores
2025-07-07 16:25:47,0.00101 cores
2025-07-07 16:25:48,0.00101 cores
2025-07-07 16:25:49,0.00101 cores
2025-07-07 16:25:50,0.00101 cores
2025-07-07 16:25:51,0.00101 cores
2025-07-07 16:25:52,0.00101 cores
2025-07-07 16:25:53,0.000563 cores
2025-07-07 16:25:54,0.000579 cores
2025-07-07 16:25:55,0.000491 cores
2025-07-07 16:25:56,0.000601 cores
2025-07-07 16:25:57,0.000616 cores
2025-07-07 16:25:58,0.000632 cores
2025-07-07 16:25:59,0.000647 cores
2025-07-07 16:26:00,0.000663 cores
2025-07-07 16:26:01,0.000679 cores
2025-07-07 16:26:02,0.000694 cores
2025-07-07 16:26:03,0.000710 cores
2025-07-07 16:26:04,0.000725 cores
2025-07-07 16:26:05,0.000741 cores
2025-07-07 16:26:06,0.000757 cores
2025-07-07 16:26:07,0.000670 cores
2025-07-07 16:26:08,0.000854 cores
2025-07-07 16:26:09,0.000871 cores
2025-07-07 16:26:10,0.000888 cores
2025-07-07 16:26:11,0.00101 cores
2025-07-07 16:26:12,0.00101 cores
2025-07-07 16:26:13,0.00101 cores
2025-07-07 16:26:14,0.00101 cores
2025-07-07 16:26:15,0.00101 cores
2025-07-07 16:26:16,0.00101 cores
2025-07-07 16:26:17,0.00101 cores
2025-07-07 16:26:18,0.00101 cores
2025-07-07 16:26:19,0.00101 cores
2025-07-07 16:26:20,0.000890 cores
2025-07-07 16:26:21,0.000873 cores
2025-07-07 16:26:22,0.000976 cores
2025-07-07 16:26:23,0.000975 cores
2025-07-07 16:26:24,0.000975 cores
2025-07-07 16:26:25,0.000975 cores
2025-07-07 16:26:26,0.000975 cores
2025-07-07 16:26:27,0.000975 cores
2025-07-07 16:26:28,0.000975 cores
2025-07-07 16:26:29,0.000975 cores
2025-07-07 16:26:30,0.000975 cores
2025-07-07 16:26:31,0.000975 cores
2025-07-07 16:26:32,0.000975 cores
2025-07-07 16:26:33,0.000975 cores
2025-07-07 16:26:34,0.000986 cores
2025-07-07 16:26:35,0.000986 cores
2025-07-07 16:26:36,0.000854 cores
2025-07-07 16:26:37,0.000838 cores
2025-07-07 16:26:38,0.000821 cores
2025-07-07 16:26:39,0.000805 cores
2025-07-07 16:26:40,0.000789 cores
2025-07-07 16:26:41,0.000772 cores
2025-07-07 16:26:42,0.000756 cores
2025-07-07 16:26:43,0.000739 cores
2025-07-07 16:26:44,0.000756 cores
2025-07-07 16:26:45,0.000739 cores
2025-07-07 16:26:46,0.000722 cores
2025-07-07 16:26:47,0.000705 cores
2025-07-07 16:26:48,0.000688 cores
2025-07-07 16:26:49,0.000671 cores
2025-07-07 16:26:50,0.000653 cores
2025-07-07 16:26:51,0.00105 cores
2025-07-07 16:26:52,0.00105 cores
2025-07-07 16:26:53,0.00105 cores
2025-07-07 16:26:54,0.00105 cores
2025-07-07 16:26:55,0.00105 cores
2025-07-07 16:26:56,0.00101 cores
2025-07-07 16:26:57,0.00101 cores
2025-07-07 16:26:58,0.00101 cores
2025-07-07 16:26:59,0.00101 cores
2025-07-07 16:27:00,0.00101 cores
2025-07-07 16:27:01,0.00101 cores
2025-07-07 16:27:02,0.00101 cores
2025-07-07 16:27:03,0.00101 cores
2025-07-07 16:27:04,0.00101 cores
2025-07-07 16:27:05,0.000974 cores
2025-07-07 16:27:06,0.000974 cores
2025-07-07 16:27:07,0.000974 cores
2025-07-07 16:27:08,0.00101 cores
2025-07-07 16:27:09,0.00101 cores
2025-07-07 16:27:10,0.00101 cores
2025-07-07 16:27:11,0.00101 cores
2025-07-07 16:27:12,0.00101 cores
2025-07-07 16:27:13,0.00101 cores
2025-07-07 16:27:14,0.00101 cores
2025-07-07 16:27:15,0.00101 cores
2025-07-07 16:27:16,0.00101 cores
2025-07-07 16:27:17,0.00101 cores
2025-07-07 16:27:18,0.00101 cores
2025-07-07 16:27:19,0.00101 cores
2025-07-07 16:27:20,0.00101 cores
2025-07-07 16:27:21,0.00101 cores
2025-07-07 16:27:22,0.000404 cores
2025-07-07 16:27:23,0.000404 cores
2025-07-07 16:27:24,0.000404 cores
2025-07-07 16:27:25,0.000404 cores
2025-07-07 16:27:26,0.000404 cores
2025-07-07 16:27:27,0.000404 cores
2025-07-07 16:27:28,0.000404 cores
2025-07-07 16:27:29,0.000404 cores
2025-07-07 16:27:30,0.000404 cores
2025-07-07 16:27:31,0.000404 cores
2025-07-07 16:27:32,0.000404 cores
2025-07-07 16:27:33,0.000404 cores
2025-07-07 16:27:34,0.000795 cores
2025-07-07 16:27:35,0.000795 cores
2025-07-07 16:27:36,0.000795 cores
2025-07-07 16:27:37,0.000795 cores
2025-07-07 16:27:38,0.000795 cores
2025-07-07 16:27:39,0.000795 cores
2025-07-07 16:27:40,0.000795 cores
2025-07-07 16:27:41,0.000795 cores
2025-07-07 16:27:42,0.000795 cores
2025-07-07 16:27:43,0.000795 cores
2025-07-07 16:27:44,0.000795 cores
2025-07-07 16:27:45,0.000795 cores
2025-07-07 16:27:46,0.000795 cores
2025-07-07 16:27:47,0.000795 cores
2025-07-07 16:27:48,0.000795 cores
2025-07-07 16:27:49,0.000795 cores
2025-07-07 16:27:50,0.000753 cores
2025-07-07 16:27:51,0.000718 cores
2025-07-07 16:27:52,0.000718 cores
2025-07-07 16:27:53,0.000718 cores
2025-07-07 16:27:54,0.000718 cores
2025-07-07 16:27:55,0.000718 cores
2025-07-07 16:27:56,0.000718 cores
2025-07-07 16:27:57,0.000718 cores
2025-07-07 16:27:58,0.000718 cores
2025-07-07 16:27:59,0.000718 cores
2025-07-07 16:28:00,0.000718 cores
2025-07-07 16:28:01,0.000718 cores
2025-07-07 16:28:02,0.000718 cores
2025-07-07 16:28:03,0.000718 cores
2025-07-07 16:28:04,0.000718 cores
2025-07-07 16:28:05,0.000423 cores
2025-07-07 16:28:06,0.000433 cores
2025-07-07 16:28:07,0.000339 cores
2025-07-07 16:28:08,0.000462 cores
2025-07-07 16:28:09,0.000472 cores
2025-07-07 16:28:10,0.000483 cores
2025-07-07 16:28:11,0.000494 cores
2025-07-07 16:28:12,0.000504 cores
2025-07-07 16:28:13,0.000515 cores
2025-07-07 16:28:14,0.000526 cores
2025-07-07 16:28:15,0.000642 cores
2025-07-07 16:28:16,0.000642 cores
2025-07-07 16:28:17,0.000642 cores
2025-07-07 16:28:18,0.000642 cores
2025-07-07 16:28:19,0.000642 cores
2025-07-07 16:28:20,0.000642 cores
2025-07-07 16:28:21,0.000642 cores
2025-07-07 16:28:22,0.000642 cores
2025-07-07 16:28:23,0.000642 cores
2025-07-07 16:28:24,0.000642 cores
2025-07-07 16:28:25,0.000642 cores
2025-07-07 16:28:26,0.000532 cores
2025-07-07 16:28:27,0.000522 cores
2025-07-07 16:28:28,0.000511 cores
2025-07-07 16:28:29,0.000500 cores
2025-07-07 16:28:30,0.000489 cores
2025-07-07 16:28:31,0.000479 cores
2025-07-07 16:28:32,0.000468 cores
2025-07-07 16:28:33,0.000612 cores
2025-07-07 16:28:34,0.000602 cores
2025-07-07 16:28:35,0.000602 cores
2025-07-07 16:28:36,0.000602 cores
2025-07-07 16:28:37,0.000602 cores
2025-07-07 16:28:38,0.000602 cores
2025-07-07 16:28:39,0.000602 cores
2025-07-07 16:28:40,0.000602 cores
2025-07-07 16:28:41,0.000602 cores
2025-07-07 16:28:42,0.000602 cores
2025-07-07 16:28:43,0.000602 cores
2025-07-07 16:28:44,0.000602 cores
2025-07-07 16:28:45,0.000602 cores
2025-07-07 16:28:46,0.000602 cores
2025-07-07 16:28:47,0.000602 cores
2025-07-07 16:28:48,0.000642 cores
2025-07-07 16:28:49,0.000642 cores
2025-07-07 16:28:50,0.000642 cores
2025-07-07 16:28:51,0.000642 cores
2025-07-07 16:28:52,0.000642 cores
2025-07-07 16:28:53,0.000642 cores
2025-07-07 16:28:54,0.000642 cores
2025-07-07 16:28:55,0.000642 cores
2025-07-07 16:28:56,0.000642 cores
2025-07-07 16:28:57,0.000642 cores
2025-07-07 16:28:58,0.000642 cores
2025-07-07 16:28:59,0.000642 cores
2025-07-07 16:29:00,0.000642 cores