"Time","image-preprocess-6c747ff9dc-77b5s"
2025-07-08 14:02:00,82.7 MiB
2025-07-08 14:02:02,82.7 MiB
2025-07-08 14:02:04,82.7 MiB
2025-07-08 14:02:06,82.7 MiB
2025-07-08 14:02:08,82.7 MiB
2025-07-08 14:02:10,82.7 MiB
2025-07-08 14:02:12,82.7 MiB
2025-07-08 14:02:14,82.7 MiB
2025-07-08 14:02:16,82.7 MiB
2025-07-08 14:02:18,82.7 MiB
2025-07-08 14:02:20,82.7 MiB
2025-07-08 14:02:22,82.7 MiB
2025-07-08 14:02:24,82.7 MiB
2025-07-08 14:02:26,82.7 MiB
2025-07-08 14:02:28,82.7 MiB
2025-07-08 14:02:30,82.7 MiB
2025-07-08 14:02:32,82.7 MiB
2025-07-08 14:02:34,82.7 MiB
2025-07-08 14:02:36,133 MiB
2025-07-08 14:02:38,133 MiB
2025-07-08 14:02:40,133 MiB
2025-07-08 14:02:42,133 MiB
2025-07-08 14:02:44,133 MiB
2025-07-08 14:02:46,133 MiB
2025-07-08 14:02:48,133 MiB
2025-07-08 14:02:50,84.0 MiB
2025-07-08 14:02:52,84.0 MiB
2025-07-08 14:02:54,84.0 MiB
2025-07-08 14:02:56,84.0 MiB
2025-07-08 14:02:58,84.0 MiB
2025-07-08 14:03:00,84.0 MiB
2025-07-08 14:03:02,84.0 MiB
2025-07-08 14:03:04,84.0 MiB
2025-07-08 14:03:06,84.0 MiB
2025-07-08 14:03:08,84.0 MiB
2025-07-08 14:03:10,84.0 MiB
2025-07-08 14:03:12,84.0 MiB
2025-07-08 14:03:14,84.0 MiB
2025-07-08 14:03:16,84.0 MiB
2025-07-08 14:03:18,84.0 MiB
2025-07-08 14:03:20,84.0 MiB
2025-07-08 14:03:22,84.0 MiB
2025-07-08 14:03:24,84.0 MiB
2025-07-08 14:03:26,84.0 MiB
2025-07-08 14:03:28,84.0 MiB
2025-07-08 14:03:30,84.0 MiB
2025-07-08 14:03:32,84.0 MiB
2025-07-08 14:03:34,84.0 MiB
2025-07-08 14:03:36,84.1 MiB
2025-07-08 14:03:38,84.1 MiB
2025-07-08 14:03:40,84.1 MiB
2025-07-08 14:03:42,84.1 MiB
2025-07-08 14:03:44,84.1 MiB
2025-07-08 14:03:46,84.1 MiB
2025-07-08 14:03:48,84.1 MiB
2025-07-08 14:03:50,84.1 MiB
2025-07-08 14:03:52,84.1 MiB
2025-07-08 14:03:54,84.1 MiB
2025-07-08 14:03:56,84.1 MiB
2025-07-08 14:03:58,84.1 MiB
2025-07-08 14:04:00,84.1 MiB
2025-07-08 14:04:02,84.1 MiB
2025-07-08 14:04:04,84.1 MiB
2025-07-08 14:04:06,84.1 MiB
2025-07-08 14:04:08,84.1 MiB
2025-07-08 14:04:10,84.1 MiB
2025-07-08 14:04:12,84.1 MiB
2025-07-08 14:04:14,84.1 MiB
2025-07-08 14:04:16,84.1 MiB
2025-07-08 14:04:18,84.1 MiB
2025-07-08 14:04:20,84.1 MiB
2025-07-08 14:04:22,84.1 MiB
2025-07-08 14:04:24,84.1 MiB
2025-07-08 14:04:26,84.1 MiB
2025-07-08 14:04:28,84.1 MiB
2025-07-08 14:04:30,84.1 MiB
2025-07-08 14:04:32,84.1 MiB
2025-07-08 14:04:34,84.1 MiB
2025-07-08 14:04:36,84.3 MiB
2025-07-08 14:04:38,84.3 MiB
2025-07-08 14:04:40,84.3 MiB
2025-07-08 14:04:42,84.3 MiB
2025-07-08 14:04:44,84.3 MiB
2025-07-08 14:04:46,84.3 MiB
2025-07-08 14:04:48,84.3 MiB
2025-07-08 14:04:50,84.3 MiB
2025-07-08 14:04:52,84.3 MiB
2025-07-08 14:04:54,84.3 MiB
2025-07-08 14:04:56,84.3 MiB
2025-07-08 14:04:58,84.3 MiB
2025-07-08 14:05:00,84.3 MiB
2025-07-08 14:05:02,84.3 MiB
2025-07-08 14:05:04,84.3 MiB
2025-07-08 14:05:06,84.3 MiB
2025-07-08 14:05:08,84.3 MiB
2025-07-08 14:05:10,84.3 MiB
2025-07-08 14:05:12,84.3 MiB
2025-07-08 14:05:14,84.3 MiB
2025-07-08 14:05:16,84.3 MiB
2025-07-08 14:05:18,84.3 MiB
2025-07-08 14:05:20,84.3 MiB
2025-07-08 14:05:22,84.3 MiB
2025-07-08 14:05:24,84.3 MiB
2025-07-08 14:05:26,84.3 MiB
2025-07-08 14:05:28,84.3 MiB
2025-07-08 14:05:30,84.3 MiB
2025-07-08 14:05:32,84.3 MiB
2025-07-08 14:05:34,84.3 MiB
2025-07-08 14:05:36,84.3 MiB
2025-07-08 14:05:38,84.3 MiB
2025-07-08 14:05:40,134 MiB
2025-07-08 14:05:42,134 MiB
2025-07-08 14:05:44,134 MiB
2025-07-08 14:05:46,134 MiB
2025-07-08 14:05:48,134 MiB
2025-07-08 14:05:50,134 MiB
2025-07-08 14:05:52,134 MiB
2025-07-08 14:05:54,134 MiB
2025-07-08 14:05:56,84.7 MiB
2025-07-08 14:05:58,84.7 MiB
2025-07-08 14:06:00,84.7 MiB
2025-07-08 14:06:02,84.7 MiB
2025-07-08 14:06:04,84.7 MiB
2025-07-08 14:06:06,84.7 MiB
2025-07-08 14:06:08,84.7 MiB
2025-07-08 14:06:10,84.7 MiB
2025-07-08 14:06:12,84.7 MiB
2025-07-08 14:06:14,84.7 MiB
2025-07-08 14:06:16,84.7 MiB
2025-07-08 14:06:18,84.7 MiB
2025-07-08 14:06:20,85.3 MiB
2025-07-08 14:06:22,85.3 MiB
2025-07-08 14:06:24,85.3 MiB
2025-07-08 14:06:26,85.3 MiB
2025-07-08 14:06:28,85.3 MiB
2025-07-08 14:06:30,85.3 MiB
2025-07-08 14:06:32,85.3 MiB
2025-07-08 14:06:34,85.2 MiB
2025-07-08 14:06:36,85.2 MiB
2025-07-08 14:06:38,85.2 MiB
2025-07-08 14:06:40,85.2 MiB
2025-07-08 14:06:42,85.2 MiB
2025-07-08 14:06:44,85.2 MiB
2025-07-08 14:06:46,85.2 MiB
2025-07-08 14:06:48,85.2 MiB
2025-07-08 14:06:50,85.2 MiB
2025-07-08 14:06:52,85.2 MiB
2025-07-08 14:06:54,85.2 MiB
2025-07-08 14:06:56,85.2 MiB
2025-07-08 14:06:58,85.2 MiB
2025-07-08 14:07:00,85.2 MiB
2025-07-08 14:07:02,85.2 MiB
2025-07-08 14:07:04,85.2 MiB
2025-07-08 14:07:06,85.2 MiB
2025-07-08 14:07:08,85.2 MiB
2025-07-08 14:07:10,85.2 MiB
2025-07-08 14:07:12,85.2 MiB
2025-07-08 14:07:14,85.2 MiB
2025-07-08 14:07:16,85.2 MiB
2025-07-08 14:07:18,85.2 MiB
2025-07-08 14:07:20,85.2 MiB
2025-07-08 14:07:22,85.2 MiB
2025-07-08 14:07:24,85.2 MiB
2025-07-08 14:07:26,85.2 MiB
2025-07-08 14:07:28,85.2 MiB
2025-07-08 14:07:30,85.2 MiB
2025-07-08 14:07:32,85.2 MiB
2025-07-08 14:07:34,85.2 MiB
2025-07-08 14:07:36,85.2 MiB
2025-07-08 14:07:38,85.2 MiB
2025-07-08 14:07:40,85.2 MiB
2025-07-08 14:07:42,85.2 MiB
2025-07-08 14:07:44,85.2 MiB
2025-07-08 14:07:46,85.2 MiB
2025-07-08 14:07:48,85.2 MiB
2025-07-08 14:07:50,85.2 MiB
2025-07-08 14:07:52,85.2 MiB
2025-07-08 14:07:54,85.2 MiB
2025-07-08 14:07:56,85.2 MiB
2025-07-08 14:07:58,85.2 MiB
2025-07-08 14:08:00,85.2 MiB
2025-07-08 14:08:02,85.2 MiB
2025-07-08 14:08:04,85.2 MiB
2025-07-08 14:08:06,85.2 MiB
2025-07-08 14:08:08,85.2 MiB
2025-07-08 14:08:10,85.2 MiB
2025-07-08 14:08:12,85.2 MiB
2025-07-08 14:08:14,85.2 MiB
2025-07-08 14:08:16,85.2 MiB
2025-07-08 14:08:18,85.2 MiB
2025-07-08 14:08:20,85.2 MiB
2025-07-08 14:08:22,85.2 MiB
2025-07-08 14:08:24,85.2 MiB
2025-07-08 14:08:26,85.2 MiB
2025-07-08 14:08:28,83.1 MiB
2025-07-08 14:08:30,83.1 MiB
2025-07-08 14:08:32,83.1 MiB
2025-07-08 14:08:34,83.1 MiB
2025-07-08 14:08:36,83.1 MiB
2025-07-08 14:08:38,83.1 MiB
2025-07-08 14:08:40,83.1 MiB
2025-07-08 14:08:42,83.1 MiB
2025-07-08 14:08:44,83.1 MiB
2025-07-08 14:08:46,83.1 MiB
2025-07-08 14:08:48,83.1 MiB
2025-07-08 14:08:50,83.1 MiB
2025-07-08 14:08:52,83.1 MiB
2025-07-08 14:08:54,83.1 MiB
2025-07-08 14:08:56,83.5 MiB
2025-07-08 14:08:58,83.5 MiB
2025-07-08 14:09:00,83.5 MiB
2025-07-08 14:09:02,83.5 MiB
2025-07-08 14:09:04,83.5 MiB
2025-07-08 14:09:06,83.5 MiB
2025-07-08 14:09:08,84.2 MiB
2025-07-08 14:09:10,84.2 MiB
2025-07-08 14:09:12,84.2 MiB
2025-07-08 14:09:14,84.2 MiB
2025-07-08 14:09:16,84.2 MiB
2025-07-08 14:09:18,84.2 MiB
2025-07-08 14:09:20,84.2 MiB
2025-07-08 14:09:22,84.2 MiB
2025-07-08 14:09:24,84.2 MiB
2025-07-08 14:09:26,84.2 MiB
2025-07-08 14:09:28,85.0 MiB
2025-07-08 14:09:30,85.0 MiB
2025-07-08 14:09:32,85.0 MiB
2025-07-08 14:09:34,85.0 MiB
2025-07-08 14:09:36,85.0 MiB
2025-07-08 14:09:38,85.0 MiB
2025-07-08 14:09:40,85.0 MiB
2025-07-08 14:09:42,85.0 MiB
2025-07-08 14:09:44,85.0 MiB
2025-07-08 14:09:46,85.0 MiB
2025-07-08 14:09:48,85.0 MiB
2025-07-08 14:09:50,85.0 MiB
2025-07-08 14:09:52,85.0 MiB
2025-07-08 14:09:54,85.0 MiB
2025-07-08 14:09:56,85.0 MiB
2025-07-08 14:09:58,85.0 MiB
2025-07-08 14:10:00,85.0 MiB
2025-07-08 14:10:02,85.1 MiB
2025-07-08 14:10:04,85.1 MiB
2025-07-08 14:10:06,85.1 MiB
2025-07-08 14:10:08,85.1 MiB
2025-07-08 14:10:10,85.1 MiB
2025-07-08 14:10:12,85.1 MiB
2025-07-08 14:10:14,85.1 MiB
2025-07-08 14:10:16,85.1 MiB
2025-07-08 14:10:18,85.1 MiB
2025-07-08 14:10:20,85.2 MiB
2025-07-08 14:10:22,85.2 MiB
2025-07-08 14:10:24,85.2 MiB
2025-07-08 14:10:26,85.2 MiB
2025-07-08 14:10:28,85.2 MiB
2025-07-08 14:10:30,85.2 MiB
2025-07-08 14:10:32,85.3 MiB
2025-07-08 14:10:34,85.3 MiB
2025-07-08 14:10:36,85.3 MiB
2025-07-08 14:10:38,85.3 MiB
2025-07-08 14:10:40,85.3 MiB
2025-07-08 14:10:42,85.3 MiB
2025-07-08 14:10:44,85.3 MiB
2025-07-08 14:10:46,85.3 MiB
2025-07-08 14:10:48,85.3 MiB
2025-07-08 14:10:50,85.3 MiB
2025-07-08 14:10:52,85.4 MiB
2025-07-08 14:10:54,85.4 MiB
2025-07-08 14:10:56,85.4 MiB
2025-07-08 14:10:58,85.4 MiB
2025-07-08 14:11:00,85.4 MiB
2025-07-08 14:11:02,85.4 MiB
2025-07-08 14:11:04,85.4 MiB
2025-07-08 14:11:06,85.4 MiB
2025-07-08 14:11:08,85.4 MiB
2025-07-08 14:11:10,85.2 MiB
2025-07-08 14:11:12,85.2 MiB
2025-07-08 14:11:14,85.2 MiB
2025-07-08 14:11:16,85.2 MiB
2025-07-08 14:11:18,85.2 MiB
2025-07-08 14:11:20,85.2 MiB
2025-07-08 14:11:22,85.2 MiB
2025-07-08 14:11:24,85.2 MiB
2025-07-08 14:11:26,85.2 MiB
2025-07-08 14:11:28,85.2 MiB
2025-07-08 14:11:30,85.2 MiB
2025-07-08 14:11:32,85.2 MiB
2025-07-08 14:11:34,85.2 MiB
2025-07-08 14:11:36,85.2 MiB
2025-07-08 14:11:38,85.2 MiB
2025-07-08 14:11:40,85.2 MiB
2025-07-08 14:11:42,85.2 MiB
2025-07-08 14:11:44,85.2 MiB
2025-07-08 14:11:46,85.2 MiB
2025-07-08 14:11:48,85.2 MiB
2025-07-08 14:11:50,85.2 MiB
2025-07-08 14:11:52,85.2 MiB
2025-07-08 14:11:54,85.2 MiB
2025-07-08 14:11:56,85.2 MiB
2025-07-08 14:11:58,85.2 MiB
2025-07-08 14:12:00,85.2 MiB
2025-07-08 14:12:02,85.2 MiB
2025-07-08 14:12:04,85.2 MiB
2025-07-08 14:12:06,85.2 MiB
2025-07-08 14:12:08,85.2 MiB
2025-07-08 14:12:10,85.2 MiB
2025-07-08 14:12:12,85.2 MiB
2025-07-08 14:12:14,85.2 MiB
2025-07-08 14:12:16,85.2 MiB
2025-07-08 14:12:18,85.2 MiB
2025-07-08 14:12:20,85.2 MiB
2025-07-08 14:12:22,135 MiB
2025-07-08 14:12:24,135 MiB
2025-07-08 14:12:26,135 MiB
2025-07-08 14:12:28,135 MiB
2025-07-08 14:12:30,135 MiB
2025-07-08 14:12:32,135 MiB
2025-07-08 14:12:34,135 MiB
2025-07-08 14:12:36,135 MiB
2025-07-08 14:12:38,135 MiB
2025-07-08 14:12:40,85.0 MiB
2025-07-08 14:12:42,85.0 MiB
2025-07-08 14:12:44,85.0 MiB
2025-07-08 14:12:46,85.0 MiB
2025-07-08 14:12:48,85.0 MiB
2025-07-08 14:12:50,85.0 MiB
2025-07-08 14:12:52,85.1 MiB
2025-07-08 14:12:54,85.1 MiB
2025-07-08 14:12:56,85.1 MiB
2025-07-08 14:12:58,85.1 MiB
2025-07-08 14:13:00,85.1 MiB
2025-07-08 14:13:02,85.1 MiB
2025-07-08 14:13:04,85.1 MiB
2025-07-08 14:13:06,85.1 MiB
2025-07-08 14:13:08,85.1 MiB
2025-07-08 14:13:10,85.1 MiB
2025-07-08 14:13:12,85.1 MiB
2025-07-08 14:13:14,85.1 MiB
2025-07-08 14:13:16,85.1 MiB
2025-07-08 14:13:18,85.1 MiB
2025-07-08 14:13:20,85.1 MiB
2025-07-08 14:13:22,85.1 MiB
2025-07-08 14:13:24,85.1 MiB
2025-07-08 14:13:26,85.1 MiB
2025-07-08 14:13:28,85.1 MiB
2025-07-08 14:13:30,85.1 MiB
2025-07-08 14:13:32,85.1 MiB
2025-07-08 14:13:34,85.1 MiB
2025-07-08 14:13:36,85.1 MiB
2025-07-08 14:13:38,85.2 MiB
2025-07-08 14:13:40,85.2 MiB
2025-07-08 14:13:42,85.2 MiB
2025-07-08 14:13:44,85.2 MiB
2025-07-08 14:13:46,85.2 MiB
2025-07-08 14:13:48,85.2 MiB
2025-07-08 14:13:50,85.2 MiB
2025-07-08 14:13:52,85.2 MiB
2025-07-08 14:13:54,85.2 MiB
2025-07-08 14:13:56,85.4 MiB
2025-07-08 14:13:58,85.4 MiB
2025-07-08 14:14:00,85.4 MiB
2025-07-08 14:14:02,85.4 MiB
2025-07-08 14:14:04,85.4 MiB
2025-07-08 14:14:06,85.4 MiB
2025-07-08 14:14:08,85.4 MiB
2025-07-08 14:14:10,85.4 MiB
2025-07-08 14:14:12,85.2 MiB
2025-07-08 14:14:14,85.2 MiB
2025-07-08 14:14:16,85.2 MiB
2025-07-08 14:14:18,85.2 MiB
2025-07-08 14:14:20,85.2 MiB
2025-07-08 14:14:22,85.2 MiB
2025-07-08 14:14:24,85.2 MiB
2025-07-08 14:14:26,85.2 MiB
2025-07-08 14:14:28,85.2 MiB
2025-07-08 14:14:30,85.2 MiB
2025-07-08 14:14:32,85.2 MiB
2025-07-08 14:14:34,85.2 MiB
2025-07-08 14:14:36,85.2 MiB
2025-07-08 14:14:38,85.2 MiB
2025-07-08 14:14:40,85.2 MiB
2025-07-08 14:14:42,85.2 MiB
2025-07-08 14:14:44,85.2 MiB
2025-07-08 14:14:46,85.2 MiB
2025-07-08 14:14:48,85.2 MiB
2025-07-08 14:14:50,85.2 MiB
2025-07-08 14:14:52,85.2 MiB
2025-07-08 14:14:54,85.2 MiB
2025-07-08 14:14:56,85.2 MiB
2025-07-08 14:14:58,85.2 MiB
2025-07-08 14:15:00,85.2 MiB
2025-07-08 14:15:02,85.2 MiB
2025-07-08 14:15:04,85.2 MiB
2025-07-08 14:15:06,85.2 MiB
2025-07-08 14:15:08,85.2 MiB
2025-07-08 14:15:10,85.2 MiB
2025-07-08 14:15:12,85.2 MiB
2025-07-08 14:15:14,85.4 MiB
2025-07-08 14:15:16,85.4 MiB
2025-07-08 14:15:18,85.4 MiB
2025-07-08 14:15:20,85.4 MiB
2025-07-08 14:15:22,85.4 MiB
2025-07-08 14:15:24,85.4 MiB
2025-07-08 14:15:26,85.4 MiB
2025-07-08 14:15:28,85.4 MiB
2025-07-08 14:15:30,85.4 MiB
2025-07-08 14:15:32,85.4 MiB
2025-07-08 14:15:34,85.4 MiB
2025-07-08 14:15:36,85.4 MiB
2025-07-08 14:15:38,85.4 MiB
2025-07-08 14:15:40,85.4 MiB
2025-07-08 14:15:42,85.4 MiB
2025-07-08 14:15:44,85.4 MiB
2025-07-08 14:15:46,85.4 MiB
2025-07-08 14:15:48,85.3 MiB
2025-07-08 14:15:50,85.3 MiB
2025-07-08 14:15:52,85.3 MiB
2025-07-08 14:15:54,85.3 MiB
2025-07-08 14:15:56,85.3 MiB
2025-07-08 14:15:58,85.3 MiB
2025-07-08 14:16:00,83.4 MiB
2025-07-08 14:16:02,83.4 MiB
2025-07-08 14:16:04,83.4 MiB
2025-07-08 14:16:06,83.4 MiB
2025-07-08 14:16:08,83.4 MiB
